object1name,object2name,object3name,object4name,intendedName,clickedName,trialNum,condition,contextType,wordID,id,speakerID,listenerID
spottedCircle2,redSquare1,blueSquare1,spottedCircle1,spottedCircle1,spottedCircle1,1,subOnly,sub,word8,game8,2,1
stripedCircle1,blueSquare2,blueSquare1,stripedCircle2,stripedCircle2,stripedCircle2,2,subOnly,sub,word8,game8,1,2
redSquare1,blueSquare1,redSquare2,blueSquare2,blueSquare2,blueSquare1,3,subOnly,sub,word8,game8,2,1
redSquare1,blueSquare2,spottedCircle1,blueSquare1,blueSquare1,blueSquare2,4,subOnly,sub,word7,game8,1,2
spottedCircle1,redSquare1,stripedCircle2,stripedCircle1,stripedCircle1,spottedCircle1,5,subOnly,sub,word16,game8,2,1
spottedCircle1,blueSquare1,redSquare1,spottedCircle2,spottedCircle2,spottedCircle2,6,subOnly,sub,word11,game8,1,2
stripedCircle1,blueSquare1,redSquare1,redSquare2,redSquare2,redSquare1,7,subOnly,sub,word7,game8,2,1
blueSquare1,redSquare2,spottedCircle2,redSquare1,redSquare1,spottedCircle2,8,subOnly,sub,word11,game8,1,2
stripedCircle2,spottedCircle2,stripedCircle1,spottedCircle1,spottedCircle1,spottedCircle2,9,subOnly,sub,word11,game8,2,1
spottedCircle1,redSquare1,blueSquare2,spottedCircle2,spottedCircle2,spottedCircle2,10,subOnly,sub,word13,game8,1,2
blueSquare1,redSquare2,spottedCircle2,blueSquare2,blueSquare2,redSquare2,11,subOnly,sub,word8,game8,2,1
blueSquare2,spottedCircle2,redSquare1,redSquare2,redSquare2,blueSquare2,12,subOnly,sub,word1,game8,1,2
blueSquare1,spottedCircle1,stripedCircle1,stripedCircle2,stripedCircle2,spottedCircle1,13,subOnly,sub,word8,game8,2,1
redSquare2,stripedCircle2,blueSquare2,stripedCircle1,stripedCircle1,stripedCircle1,14,subOnly,sub,word13,game8,1,2
stripedCircle1,spottedCircle2,redSquare2,redSquare1,redSquare1,redSquare1,15,subOnly,sub,word8,game8,2,1
blueSquare2,redSquare1,spottedCircle1,blueSquare1,blueSquare1,redSquare1,16,subOnly,sub,word1,game8,1,2
stripedCircle2,spottedCircle1,blueSquare2,spottedCircle2,spottedCircle2,blueSquare2,17,subOnly,sub,word7,game8,2,1
spottedCircle1,stripedCircle1,spottedCircle2,stripedCircle2,stripedCircle2,stripedCircle1,18,subOnly,sub,word8,game8,1,2
stripedCircle1,redSquare2,blueSquare2,blueSquare1,blueSquare1,stripedCircle1,19,subOnly,sub,word8,game8,2,1
blueSquare1,stripedCircle1,spottedCircle2,spottedCircle1,spottedCircle1,stripedCircle1,20,subOnly,sub,word12,game8,1,2
redSquare2,spottedCircle1,blueSquare2,redSquare1,redSquare1,redSquare2,21,subOnly,sub,word12,game8,2,1
spottedCircle2,blueSquare1,redSquare1,blueSquare2,blueSquare2,blueSquare2,22,subOnly,sub,word15,game8,1,2
redSquare1,stripedCircle2,spottedCircle2,redSquare2,redSquare2,stripedCircle2,23,subOnly,sub,word8,game8,2,1
stripedCircle2,blueSquare1,redSquare1,stripedCircle1,stripedCircle1,stripedCircle2,24,subOnly,sub,word14,game8,1,2
blueSquare1,redSquare1,stripedCircle1,redSquare2,redSquare2,redSquare2,25,subOnly,sub,word7,game8,2,1
blueSquare2,stripedCircle1,spottedCircle1,blueSquare1,blueSquare1,blueSquare2,26,subOnly,sub,word7,game8,1,2
blueSquare2,stripedCircle2,spottedCircle1,stripedCircle1,stripedCircle1,spottedCircle1,27,subOnly,sub,word7,game8,2,1
stripedCircle2,spottedCircle2,blueSquare2,spottedCircle1,spottedCircle1,spottedCircle1,28,subOnly,sub,word10,game8,1,2
stripedCircle1,spottedCircle2,blueSquare1,stripedCircle2,stripedCircle2,blueSquare1,29,subOnly,sub,word13,game8,2,1
redSquare2,spottedCircle2,blueSquare1,redSquare1,redSquare1,redSquare1,30,subOnly,sub,word6,game8,1,2
blueSquare1,stripedCircle2,spottedCircle1,spottedCircle2,spottedCircle2,stripedCircle2,31,subOnly,sub,word8,game8,2,1
spottedCircle1,redSquare2,blueSquare1,blueSquare2,blueSquare2,blueSquare1,32,subOnly,sub,word14,game8,1,2
stripedCircle2,redSquare2,spottedCircle1,redSquare1,redSquare1,redSquare1,33,subOnly,sub,word14,game8,2,1
spottedCircle1,stripedCircle2,blueSquare2,spottedCircle2,spottedCircle2,spottedCircle2,34,subOnly,sub,word14,game8,1,2
redSquare2,spottedCircle1,stripedCircle2,stripedCircle1,stripedCircle1,stripedCircle2,35,subOnly,sub,word13,game8,2,1
