object1name,object2name,object3name,object4name,intendedName,clickedName,trialNum,condition,contextType,wordID,id,speakerID,listenerID
redSquare2,redSquare1,stripedCircle2,stripedCircle1,stripedCircle1,redSquare1,1,subOnly,sub,word16,game46,2,1
blueSquare2,redSquare1,spottedCircle1,blueSquare1,blueSquare1,redSquare1,2,subOnly,sub,word2,game46,1,2
blueSquare2,spottedCircle1,stripedCircle1,stripedCircle2,stripedCircle2,blueSquare2,3,subOnly,sub,word15,game46,2,1
blueSquare2,redSquare2,spottedCircle1,redSquare1,redSquare1,spottedCircle1,4,subOnly,sub,word2,game46,1,2
redSquare1,blueSquare2,stripedCircle1,redSquare2,redSquare2,blueSquare2,5,subOnly,sub,word2,game46,2,1
stripedCircle2,blueSquare1,spottedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,6,subOnly,sub,word10,game46,1,2
stripedCircle2,blueSquare1,redSquare2,blueSquare2,blueSquare2,redSquare2,7,subOnly,sub,word2,game46,2,1
spottedCircle1,blueSquare1,redSquare2,spottedCircle2,spottedCircle2,spottedCircle2,8,subOnly,sub,word15,game46,1,2
blueSquare1,stripedCircle1,spottedCircle2,blueSquare2,blueSquare2,blueSquare1,9,subOnly,sub,word2,game46,2,1
spottedCircle1,blueSquare1,stripedCircle2,stripedCircle1,stripedCircle1,stripedCircle2,10,subOnly,sub,word7,game46,1,2
redSquare1,stripedCircle1,stripedCircle2,redSquare2,redSquare2,redSquare1,11,subOnly,sub,word16,game46,2,1
blueSquare2,redSquare2,spottedCircle2,spottedCircle1,spottedCircle1,spottedCircle2,12,subOnly,sub,word10,game46,1,2
stripedCircle1,blueSquare2,redSquare2,redSquare1,redSquare1,blueSquare2,13,subOnly,sub,word16,game46,2,1
spottedCircle1,stripedCircle1,redSquare1,spottedCircle2,spottedCircle2,spottedCircle1,14,subOnly,sub,word10,game46,1,2
stripedCircle1,spottedCircle2,spottedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,15,subOnly,sub,word9,game46,2,1
stripedCircle1,blueSquare2,spottedCircle2,blueSquare1,blueSquare1,blueSquare2,16,subOnly,sub,word2,game46,1,2
stripedCircle1,blueSquare1,redSquare2,stripedCircle2,stripedCircle2,stripedCircle2,17,subOnly,sub,word9,game46,2,1
blueSquare2,stripedCircle1,stripedCircle2,blueSquare1,blueSquare1,blueSquare1,18,subOnly,sub,word2,game46,1,2
stripedCircle1,spottedCircle2,blueSquare1,spottedCircle1,spottedCircle1,spottedCircle1,19,subOnly,sub,word10,game46,2,1
blueSquare1,redSquare2,spottedCircle2,redSquare1,redSquare1,redSquare2,20,subOnly,sub,word3,game46,1,2
spottedCircle1,redSquare2,stripedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,21,subOnly,sub,word7,game46,2,1
redSquare1,blueSquare2,stripedCircle1,redSquare2,redSquare2,blueSquare2,22,subOnly,sub,word6,game46,1,2
stripedCircle2,blueSquare2,spottedCircle1,spottedCircle2,spottedCircle2,spottedCircle1,23,subOnly,sub,word14,game46,2,1
redSquare1,redSquare2,blueSquare1,blueSquare2,blueSquare2,blueSquare1,24,subOnly,sub,word2,game46,1,2
redSquare1,redSquare2,blueSquare2,blueSquare1,blueSquare1,redSquare1,25,subOnly,sub,word11,game46,2,1
spottedCircle2,redSquare2,stripedCircle1,redSquare1,redSquare1,spottedCircle2,26,subOnly,sub,word11,game46,1,2
stripedCircle1,stripedCircle2,blueSquare1,blueSquare2,blueSquare2,blueSquare1,27,subOnly,sub,word2,game46,2,1
redSquare1,stripedCircle2,stripedCircle1,redSquare2,redSquare2,redSquare1,28,subOnly,sub,word3,game46,1,2
spottedCircle1,stripedCircle1,redSquare1,spottedCircle2,spottedCircle2,spottedCircle1,29,subOnly,sub,word14,game46,2,1
redSquare2,stripedCircle1,blueSquare2,stripedCircle2,stripedCircle2,stripedCircle1,30,subOnly,sub,word7,game46,1,2
stripedCircle2,blueSquare2,redSquare1,stripedCircle1,stripedCircle1,stripedCircle2,31,subOnly,sub,word7,game46,2,1
